card_id,review_time,review_rating,review_state,review_duration,tag
4390,1748865413127,4,0,79659,#!國考題
2883,1748865488077,3,0,28882,#!國考題
4368,1748865500235,4,0,1926,#!國考題
5071,1748865628563,3,0,103380,#!國考題
1870,1748865685310,4,0,45787,#!國考題
1969,1748865847466,4,0,153191,#!國考題
4314,1748865868572,3,0,15374,#!國考題
4222,1748865877355,4,0,1634,#!國考題
2038,1748865922364,4,0,29520,#!國考題
2287,1748865946725,4,0,18291,#!國考題
3804,1748865983453,4,0,29676,#!國考題
4253,1748866095905,4,0,103124,#!國考題
4154,1748866169564,4,0,56084,#!國考題
4172,1748866230511,4,0,57307,#!國考題
1886,1748866321968,4,0,63426,#!國考題
1958,1748866510802,4,0,161875,#!國考題
4394,1748866581708,4,0,51920,#!國考題
4339,1748866626244,4,0,25942,#!國考題
4309,1748866653396,4,0,19551,#!國考題
4270,1748866679984,4,0,19423,#!國考題
2172,1748866729890,4,0,39877,#!國考題
2853,1748866885560,4,0,128899,#!國考題
4414,1748866947361,4,0,42816,#!國考題
4294,1748866980985,4,0,12733,#!國考題
2144,1748867147709,4,0,121123,#!國考題
4407,1748867234704,4,0,81893,#!國考題
6923,1748867255900,4,0,4122,#!國考題
2094,1748867317996,4,0,50468,#!國考題
4350,1748867367064,4,0,36226,#!國考題
2041,1748867376888,4,0,1738,#!國考題
2304,1748867699055,4,0,307247,#!國考題
1865,1748867765445,4,0,55898,#!國考題
2153,1748867790377,4,0,8796,#!國考題
2855,1748867833264,4,0,33427,#!國考題
4155,1748867942656,4,0,90091,#!國考題
2028,1748867980884,3,0,32197,#!國考題
4378,1748868087372,4,0,89093,#!國考題
4247,1748868119107,2,0,14182,#!國考題
2055,1748924191427,4,0,36673,#!國考題
1968,1748924224353,4,0,21479,#!國考題
1884,1748924822732,3,0,41099,#!國考題
2906,1748924875654,4,0,25027,#!國考題
2158,1748924935400,4,0,50219,#!國考題
4273,1748925068554,3,0,110771,#!國考題
2079,1748925213849,4,0,130848,#!國考題
2102,1748925260245,4,0,42644,#!國考題
3808,1748925322332,4,0,50427,#!國考題
2069,1748925474706,4,0,143560,#!國考題
2229,1748925673825,4,0,174646,#!國考題
1876,1748925767030,4,0,83836,#!國考題
2037,1748925823012,4,0,49417,#!國考題
3814,1748926225492,3,0,361138,#!國考題
4330,1748926327751,4,0,49343,#!國考題
1963,1748926349950,3,0,13453,#!國考題
2090,1748926475498,2,0,96301,#!國考題
4404,1748926495449,4,0,2555,#!國考題
